"filename", "language", "JSON", "Markdown", "JavaScript", "HTTP", "JavaScript React", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\בר\IdeaProjects\my-shop\admin\src\components\Updates\Updates.jsx", "JavaScript React", 0, 0, 0, 0, -24, 0, 0, 0, -3, -27
"c:\Users\בר\IdeaProjects\my-shop\admin\src\context\AuthProvider.js", "JavaScript", 0, 0, -11, 0, 0, 0, 0, 0, -4, -15
"c:\Users\בר\IdeaProjects\my-shop\admin\src\data\Data.js", "JavaScript", 0, 0, -127, 0, 0, 0, 0, -6, -6, -139
"c:\Users\בר\IdeaProjects\my-shop\admin\src\hooks\ProductCrud.js", "JavaScript", 0, 0, -6, 0, 0, 0, 0, -22, -5, -33
"c:\Users\בר\IdeaProjects\my-shop\admin\src\index.js", "JavaScript", 0, 0, -14, 0, 0, 0, 0, 0, -1, -15
"c:\Users\בר\IdeaProjects\my-shop\admin\src\pages\Analytics.jsx", "JavaScript React", 0, 0, 0, 0, -33, 0, 0, 0, -3, -36
"c:\Users\בר\IdeaProjects\my-shop\admin\src\pages\Locations.jsx", "JavaScript React", 0, 0, 0, 0, -112, 0, 0, -2, -8, -122
"c:\Users\בר\IdeaProjects\my-shop\admin\src\pages\Login.jsx", "JavaScript React", 0, 0, 0, 0, -97, 0, 0, -16, -12, -125
"c:\Users\בר\IdeaProjects\my-shop\admin\src\pages\Orders.jsx", "JavaScript React", 0, 0, 0, 0, -151, 0, 0, -2, -7, -160
"c:\Users\בר\IdeaProjects\my-shop\admin\src\pages\Products.jsx", "JavaScript React", 0, 0, 0, 0, -125, 0, 0, -3, -8, -136
"c:\Users\בר\IdeaProjects\my-shop\admin\src\pages\index.jsx", "JavaScript React", 0, 0, 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\בר\IdeaProjects\my-shop\admin\src\pages\pages.css", "CSS", 0, 0, 0, 0, 0, -22, 0, 0, -4, -26
"c:\Users\בר\IdeaProjects\my-shop\admin\src\styles\GlobalStyle.jsx", "JavaScript React", 0, 0, 0, 0, -61, 0, 0, 0, -3, -64
"c:\Users\בר\IdeaProjects\my-shop\admin\src\utils\fetchCatagories.js", "JavaScript", 0, 0, -12, 0, 0, 0, 0, 0, -3, -15
"c:\Users\בר\IdeaProjects\my-shop\package-lock.json", "JSON", -180, 0, 0, 0, 0, 0, 0, 0, -1, -181
"c:\Users\בר\IdeaProjects\my-shop\package.json", "JSON", -5, 0, 0, 0, 0, 0, 0, 0, -1, -6
"c:\Users\בר\IdeaProjects\my-shop\server\API_testing\auth.rest", "HTTP", 0, 0, 0, -16, 0, 0, 0, -3, -8, -27
"c:\Users\בר\IdeaProjects\my-shop\server\API_testing\categories.rest", "HTTP", 0, 0, 0, -1, 0, 0, 0, -1, -1, -3
"c:\Users\בר\IdeaProjects\my-shop\server\API_testing\currency.rest", "HTTP", 0, 0, 0, -1, 0, 0, 0, -1, -1, -3
"c:\Users\בר\IdeaProjects\my-shop\server\API_testing\locations.rest", "HTTP", 0, 0, 0, -13, 0, 0, 0, -3, -8, -24
"c:\Users\בר\IdeaProjects\my-shop\server\API_testing\orders.rest", "HTTP", 0, 0, 0, -52, 0, 0, 0, -3, -12, -67
"c:\Users\בר\IdeaProjects\my-shop\server\API_testing\products.rest", "HTTP", 0, 0, 0, -30, 0, 0, 0, -6, -14, -50
"c:\Users\בר\IdeaProjects\my-shop\server\API_testing\users.rest", "HTTP", 0, 0, 0, -11, 0, 0, 0, -4, -9, -24
"c:\Users\בר\IdeaProjects\my-shop\server\README.md", "Markdown", 0, -27, 0, 0, 0, 0, 0, 0, -7, -34
"c:\Users\בר\IdeaProjects\my-shop\server\app.js", "JavaScript", 0, 0, -22, 0, 0, 0, 0, -3, -3, -28
"c:\Users\בר\IdeaProjects\my-shop\server\config\mongoConnect.js", "JavaScript", 0, 0, -16, 0, 0, 0, 0, 0, -3, -19
"c:\Users\בר\IdeaProjects\my-shop\server\config\redisConnect.js", "JavaScript", 0, 0, -6, 0, 0, 0, 0, 0, -2, -8
"c:\Users\בר\IdeaProjects\my-shop\server\controller\authControllers.js", "JavaScript", 0, 0, -58, 0, 0, 0, 0, 0, -8, -66
"c:\Users\בר\IdeaProjects\my-shop\server\controller\categoriesControllers.js", "JavaScript", 0, 0, -16, 0, 0, 0, 0, 0, -2, -18
"c:\Users\בר\IdeaProjects\my-shop\server\controller\currencyController.js", "JavaScript", 0, 0, -15, 0, 0, 0, 0, 0, -2, -17
"c:\Users\בר\IdeaProjects\my-shop\server\controller\locationController.js", "JavaScript", 0, 0, -79, 0, 0, 0, 0, 0, -6, -85
"c:\Users\בר\IdeaProjects\my-shop\server\controller\ordersController.js", "JavaScript", 0, 0, -96, 0, 0, 0, 0, -1, -7, -104
"c:\Users\בר\IdeaProjects\my-shop\server\controller\productControllers.js", "JavaScript", 0, 0, -102, 0, 0, 0, 0, 0, -8, -110
"c:\Users\בר\IdeaProjects\my-shop\server\controller\userControllers.js", "JavaScript", 0, 0, -69, 0, 0, 0, 0, 0, -5, -74
"c:\Users\בר\IdeaProjects\my-shop\server\data\categories.js", "JavaScript", 0, 0, -9, 0, 0, 0, 0, 0, -2, -11
"c:\Users\בר\IdeaProjects\my-shop\server\data\locations.js", "JavaScript", 0, 0, -9, 0, 0, 0, 0, 0, -2, -11
"c:\Users\בר\IdeaProjects\my-shop\server\data\products.js", "JavaScript", 0, 0, -860, 0, 0, 0, 0, 0, -2, -862
"c:\Users\בר\IdeaProjects\my-shop\server\middlewares\auth.js", "JavaScript", 0, 0, -22, 0, 0, 0, 0, 0, -4, -26
"c:\Users\בר\IdeaProjects\my-shop\server\models\Categories.js", "JavaScript", 0, 0, -7, 0, 0, 0, 0, 0, -3, -10
"c:\Users\בר\IdeaProjects\my-shop\server\models\Currency.js", "JavaScript", 0, 0, -173, 0, 0, 0, 0, 0, -3, -176
"c:\Users\בר\IdeaProjects\my-shop\server\models\Location.js", "JavaScript", 0, 0, -17, 0, 0, 0, 0, 0, -3, -20
"c:\Users\בר\IdeaProjects\my-shop\server\models\Orders.js", "JavaScript", 0, 0, -35, 0, 0, 0, 0, 0, -4, -39
"c:\Users\בר\IdeaProjects\my-shop\server\models\Product.js", "JavaScript", 0, 0, -79, 0, 0, 0, 0, 0, -6, -85
