"filename", "language", "CSS", "JavaScript", "JavaScript React", "comment", "blank", "total"
"c:\Users\בר\IdeaProjects\my-shop\client\src\index.js", "JavaScript", 0, 12, 0, 0, 6, 18
"c:\Users\בר\IdeaProjects\my-shop\client\src\pages\AboutPage.jsx", "JavaScript React", 0, 0, 12, 2, 5, 19
"c:\Users\בר\IdeaProjects\my-shop\client\src\pages\CartPage.jsx", "JavaScript React", 0, 0, 157, 3, 13, 173
"c:\Users\בר\IdeaProjects\my-shop\client\src\pages\HomePage.jsx", "JavaScript React", 0, 0, 40, 0, 4, 44
"c:\Users\בר\IdeaProjects\my-shop\client\src\pages\ShopPage.jsx", "JavaScript React", 0, 0, 146, 11, 13, 170
"c:\Users\בר\IdeaProjects\my-shop\client\src\pages\TestPage.jsx", "JavaScript React", 0, 0, 26, 2, 3, 31
"c:\Users\בר\IdeaProjects\my-shop\client\src\pages\index.jsx", "JavaScript React", 0, 0, 6, 0, 2, 8
"c:\Users\בר\IdeaProjects\my-shop\client\src\pages\styles\AboutPageStyle.jsx", "JavaScript React", 0, 0, 10, 0, 2, 12
"c:\Users\בר\IdeaProjects\my-shop\client\src\pages\styles\CartPageStyle.jsx", "JavaScript React", 0, 0, 13, 0, 4, 17
"c:\Users\בר\IdeaProjects\my-shop\client\src\pages\styles\HomePageStyle.jsx", "JavaScript React", 0, 0, 51, 0, 3, 54
"c:\Users\בר\IdeaProjects\my-shop\client\src\pages\styles\ShopPageStyle.jsx", "JavaScript React", 0, 0, 23, 0, 3, 26
"c:\Users\בר\IdeaProjects\my-shop\client\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 2, 14
"c:\Users\בר\IdeaProjects\my-shop\client\src\styles\ColorsTheme.jsx", "JavaScript React", 0, 0, 0, 0, 1, 1
"c:\Users\בר\IdeaProjects\my-shop\client\src\styles\GlobalStyle.jsx", "JavaScript React", 0, 0, 41, 0, 3, 44
"Total", "-", 259, 251, 2101, 148, 326, 3085
